rebalance_date,next_date,nav_long,nav_bench,nav_excess,long_only_ret_net,benchmark_ret,excess_ret,turnover
2022-04-06,2022-05-06,0.9240915275830235,0.9488716581283736,0.9752198694546498,-0.07590847241697654,-0.051128341871626355,-0.024780130545350186,1.0
2022-05-06,2022-06-06,0.9322421834657586,1.014789076569191,0.9160736772766501,0.00882018245968923,0.0694692668667518,-0.06064908440706257,0.3
2022-06-06,2022-07-06,0.9668204544134273,1.0723464895549513,0.8980938198983162,0.03709151072644938,0.0567185973072857,-0.01962708658083632,0.5
2022-07-06,2022-08-08,0.9392173497048176,1.0426053675533247,0.8973611781585692,-0.02855039380125298,-0.027734619632102216,-0.0008157741691507646,0.6
2022-08-08,2022-09-06,0.9600350756865097,1.0294969373257248,0.9285334727340344,0.02216497170568105,-0.012572763037237372,0.03473773474291842,0.7
2022-09-06,2022-10-10,0.9517689455337303,0.9627762656887646,0.9807159088755721,-0.008610237648732175,-0.06480900449327935,0.05619876684454718,0.6
2022-10-10,2022-11-07,0.953299783915957,1.0088154187130285,0.9353962942496327,0.0016084138796609655,0.04781916075935631,-0.04621074687969535,0.5
2022-11-07,2022-12-06,1.0105702056096475,1.0574176950730356,0.9465260249152025,0.06007598308523206,0.04817757089994742,0.011898412185284639,0.6
2022-12-06,2023-01-06,0.9652645046951589,1.0360180111650699,0.9232470346023602,-0.044831819365936006,-0.020237682807537828,-0.024594136558398177,0.6
2023-01-06,2023-02-06,0.9667497406522745,1.0878919214245972,0.87844020470197,0.0015386828686760352,0.05007047145946025,-0.04853178859078422,0.5
2023-02-06,2023-03-06,1.0190877230304225,1.1331543944872078,0.8894491837610414,0.054138087839397976,0.041605670720800354,0.012532417118597622,0.6
2023-03-06,2023-04-06,1.0451701065322743,1.1789154105710131,0.8762943298404409,0.02559385508471379,0.04038374320960377,-0.014789888124889981,0.4
2023-04-06,2023-05-08,1.0468737394404692,1.1692207382664768,0.8849287977406185,0.0016300053910338918,-0.00822338245611765,0.009853387847151542,0.8
2023-05-08,2023-06-06,1.0000659640667844,1.1150865630777165,0.8863335373923693,-0.04471195867297477,-0.046299362829487094,0.0015874041565123245,0.9
2023-06-06,2023-07-06,1.0346788075021447,1.1471683160955126,0.8915096555231176,0.034610560382043826,0.028770639051777458,0.005839921330266368,0.6
2023-07-06,2023-08-07,1.0614689986965145,1.2005847161352083,0.8730808840996661,0.02589227787417903,0.04656369888378981,-0.020671421009610783,0.9
2023-08-07,2023-09-06,1.0618191747238914,1.146940074420714,0.9123799953528395,0.0003298975549987397,-0.044682096143270324,0.04501199369826906,0.7
2023-09-06,2023-10-09,1.0415559833433123,1.1166944195931763,0.9190287543671402,-0.019083467188138012,-0.026370736799665836,0.007287269611527824,0.5
2023-10-09,2023-11-06,1.0107036903370525,1.085572889350787,0.9174186028512218,-0.029621348731756487,-0.0278693344359392,-0.001752014295817287,0.6
2023-11-06,2023-12-06,0.9714125049355969,1.038093824809301,0.9218784817290384,-0.03887507859831073,-0.04373641328670259,0.004861334688391859,0.6
2023-12-06,2024-01-08,0.97966103143068,1.0226465686301724,0.9434243262739542,0.008491270652965168,-0.014880404651252177,0.023371675304217347,0.6
2024-01-08,2024-02-06,1.0182873195372748,0.9849635371425314,1.015385673330147,0.039428217380644205,-0.03684853853088003,0.07627675591152423,0.8
2024-02-06,2024-03-06,1.1798622507326078,1.0799497494418597,1.078580181247217,0.15867322325957572,0.09643627273238156,0.06223695052719416,1.0
2024-03-06,2024-04-08,1.2101195561028197,1.0848569610678425,1.1013391420308258,0.025644777897948848,0.004543925889624832,0.021100852008324015,1.0
2024-04-08,2024-05-06,1.2364552676660843,1.1064613227818392,1.1033748804910026,0.021762900558419784,0.019914479502192817,0.001848421056226967,0.8
2024-05-06,2024-06-06,1.2509571150920078,1.0963059246473792,1.1264429557308195,0.011728566172310509,-0.009178267622520567,0.020906833794831076,0.7
2024-06-06,2024-07-08,1.2447273086037627,1.057755998612799,1.1604428825184119,-0.0049800320195522805,-0.035163475055541266,0.030183443035988987,0.8
2024-07-08,2024-08-06,1.2560699079304942,1.0588492470140838,1.1698180576558856,0.009112517455292804,0.0010335544328926027,0.008078963022400201,0.8
2024-08-06,2024-09-06,1.2226420475114421,1.0221833047720028,1.179194204468754,-0.02661305728924601,-0.03462810437413774,0.00801504708489173,0.8
2024-09-06,2024-10-08,1.5625353970481948,1.2851088734010747,1.2036972465607707,0.27799906786174206,0.25721958811264023,0.020779479749101826,0.9
2024-10-08,2024-11-06,1.4050692022025904,1.2248722485104808,1.1388139901436793,-0.10077608170866124,-0.046872779526590774,-0.05390330218207047,0.7
2024-11-06,2024-12-06,1.4418618993754466,1.2012165766634508,1.1906282614404353,0.026185683320921,-0.019312766597330243,0.04549844991825124,0.9
2024-12-06,2025-01-06,1.4152349617069873,1.1288915849019932,1.2403283398317877,-0.01846705130359094,-0.060209784951811667,0.04174273364822073,0.8
2025-01-06,2025-02-06,1.407836536757808,1.1506526502075463,1.209935099774632,-0.005227700805423539,0.019276488191239623,-0.02450418899666316,0.6
2025-02-06,2025-03-06,1.4126218031557431,1.170249171899435,1.1934415464294483,0.0033990213160365354,0.01703078829945243,-0.013631766983415894,0.9
2025-03-06,2025-04-07,1.4301011199361804,1.1391638317313657,1.2399101983646799,0.012373670533322646,-0.02656300975425142,0.03893668028757406,0.7
2025-04-07,2025-05-06,1.497304893705558,1.194794510058074,1.2376258660330284,0.04699232301305835,0.0488346599296062,-0.0018423369165478515,0.5
