rebalance_date,EP_TTM,LnFloatCap,Turnover_20D,Momentum_60D,Reversal_5D,Volatility_20D,F_DOWNSIDE_VOL,F_AMPLITUDE_20
2022-04-06,0.14775932,0.14706175,0.13745664,0.13706744,0.07736655,0.120107435,0.10530366,0.12787719
2022-05-06,0.1649328,0.14619356,0.13849449,0.12423926,0.07457115,0.11995653,0.1045393,0.12707292
2022-06-06,0.15167472,0.14655694,0.14527448,0.13055742,0.07298663,0.11994576,0.10509824,0.12790582
2022-07-06,0.13821602,0.13446201,0.14034446,0.13940471,0.079063036,0.1233572,0.11069821,0.1344544
2022-08-08,0.14907023,0.13642366,0.13977107,0.14161892,0.06887843,0.11867471,0.11501298,0.13054997
2022-09-06,0.149188,0.14206764,0.1416316,0.14362217,0.0681194,0.118409775,0.111521244,0.12544014
2022-10-10,0.14952828,0.13987447,0.14149179,0.14161223,0.0685125,0.11305345,0.116958626,0.12896864
2022-11-07,0.13959649,0.14652853,0.1447782,0.14231987,0.063201316,0.10733653,0.13412225,0.122116834
2022-12-06,0.13682152,0.14201665,0.1442887,0.14958645,0.06445748,0.109638125,0.12587525,0.12731577
2023-01-06,0.1469582,0.13825889,0.14352296,0.14656457,0.06673993,0.11289323,0.1270699,0.11799232
2023-02-06,0.13886127,0.1446477,0.14416642,0.14614822,0.067343645,0.114297785,0.12572026,0.11881469
2023-03-06,0.13837166,0.14177993,0.1440763,0.14744948,0.06791057,0.11679028,0.12182176,0.121800065
2023-04-06,0.13548774,0.14307721,0.13504735,0.14390154,0.06825729,0.1225453,0.12652509,0.12515853
2023-05-08,0.1314959,0.14567037,0.13664249,0.14145294,0.06654577,0.12252233,0.12017493,0.13549525
2023-06-06,0.13445291,0.14091647,0.13762973,0.14895533,0.070610516,0.11594546,0.12322489,0.12826468
2023-07-06,0.13205396,0.14323203,0.13564758,0.14544581,0.06947562,0.115615904,0.12538055,0.13314849
2023-08-07,0.13543761,0.14118052,0.13554841,0.15042444,0.060471058,0.11674664,0.12222051,0.13797088
2023-09-06,0.13197362,0.1405659,0.1348605,0.1486556,0.06457161,0.120849475,0.118679546,0.13984376
2023-10-09,0.13393585,0.13216995,0.14064762,0.15244584,0.063947335,0.117284864,0.11694841,0.1426201
2023-11-06,0.13331726,0.13448106,0.14073913,0.14471392,0.06566533,0.11381665,0.115582585,0.15168409
2023-12-06,0.13369054,0.1372802,0.13466561,0.14593387,0.06653943,0.1096503,0.11990942,0.15233058
2024-01-08,0.13601123,0.13957125,0.13510685,0.14873941,0.06427487,0.11001521,0.112053104,0.1542281
2024-02-06,0.13007355,0.13249747,0.12947965,0.14691766,0.076610625,0.11949244,0.10853133,0.15639734
2024-03-06,0.13771307,0.13307971,0.13365841,0.1419086,0.068673685,0.11936134,0.11254511,0.15306002
2024-04-08,0.1350953,0.1332288,0.12954539,0.14562696,0.072653145,0.11621396,0.111520596,0.15611584
2024-05-06,0.13570124,0.13249533,0.13620658,0.15006918,0.06935045,0.11411514,0.10552495,0.15653709
2024-06-06,0.13490514,0.13094464,0.13344382,0.1453901,0.06921957,0.11532964,0.10914725,0.1616198
2024-07-08,0.13318372,0.1309954,0.13941635,0.14456248,0.06985306,0.113295965,0.11182546,0.15686752
2024-08-06,0.13232933,0.13240571,0.13501588,0.14025322,0.067169994,0.111377135,0.11323934,0.1682094
2024-09-06,0.13233228,0.1279305,0.1347075,0.14016563,0.06536879,0.1176764,0.11231231,0.16950661
2024-10-08,0.132472,0.12372956,0.14076689,0.1435846,0.065807395,0.115599684,0.10935749,0.1686824
2024-11-06,0.13454963,0.12891778,0.13522652,0.14906684,0.06361254,0.11316281,0.11292719,0.16253674
2024-12-06,0.13480672,0.127623,0.13167842,0.13854574,0.06950089,0.11467203,0.119503066,0.16367011
2025-01-06,0.13271534,0.12638181,0.13002074,0.140906,0.069810405,0.118999586,0.11737561,0.16379051
2025-02-06,0.13431764,0.12527917,0.12465093,0.14041394,0.06889728,0.11668501,0.118096344,0.17165968
2025-03-06,0.13099279,0.12668823,0.12520236,0.14177544,0.073959805,0.11890001,0.11870943,0.16377196
2025-04-07,0.13565901,0.12555641,0.12847553,0.13574447,0.07064863,0.11540571,0.12342329,0.16508697
2025-05-06,0.13030855,0.12405499,0.124491096,0.13443536,0.06748588,0.116469264,0.1237828,0.17897205
2025-06-06,0.12655362,0.12074512,0.1241473,0.1381258,0.07494013,0.11446939,0.120838426,0.18018018
2025-07-07,0.13703495,0.117161036,0.12053487,0.13662905,0.07549191,0.11289177,0.12230018,0.17795625
2025-08-06,0.13657692,0.12605101,0.122981474,0.14093322,0.073844545,0.11342207,0.11994241,0.16624838
2025-09-08,0.14044462,0.13251422,0.12270318,0.13499747,0.07844236,0.10899812,0.12233727,0.15956277
2025-10-09,0.13626595,0.13435979,0.1303175,0.13359615,0.08317051,0.107234806,0.123318836,0.15173641
2025-11-06,0.14048518,0.1342572,0.12771991,0.13411434,0.08469739,0.110469945,0.11810077,0.15015526
2025-12-08,0.13396491,0.13529763,0.12574385,0.13666828,0.08395512,0.109617986,0.12228955,0.15246263
2026-01-06,0.14069875,0.13314553,0.13179655,0.13718283,0.08511942,0.10718433,0.11880808,0.14606449
