date,capital_long,capital_bench,capital_ls
2023-01-05,100.0,100.0,100.0
2023-02-06,102.7028352918898,105.97970054377754,97.11740184381117
2023-03-06,107.6636435367249,110.89625808669497,84.81177981603349
2023-04-06,108.46128166915618,116.61492388711609,59.562055417437065
2023-05-05,115.91136347911788,116.04808131767554,62.6880650642365
2023-06-05,110.34020925180839,114.21662778677468,54.72454028419752
2023-07-05,109.9814952092953,116.77009594229784,55.685715416270476
2023-08-07,113.96366383993566,120.75775288070312,51.86075778926015
2023-09-05,111.20621205286821,116.39008795834096,56.24035630822404
2023-10-09,110.63074720682364,113.80348784605772,55.733010218697245
2023-11-06,108.99913450391492,110.8657202341437,56.98714040479893
2023-12-05,106.12608048112304,108.83728480602859,60.7061024355392
2024-01-05,107.62876041823517,108.11237860907717,64.26479957878823
2024-02-05,111.79842436250362,101.37707978620898,72.06071774572742
2024-03-05,119.6215038250602,118.19466784614659,66.60078517500322
2024-04-08,119.98179263550628,119.06904784928423,67.47989967513152
2024-05-06,122.68161531576463,121.9334314385086,66.82860616861886
2024-06-05,125.20241903682373,121.61601326132467,62.49439152599842
2024-07-05,131.54860352721244,117.3578140108449,65.21264653858081
2024-08-05,132.74241107955734,117.73467525144534,73.15301490638427
2024-09-05,124.39499712961353,114.30448894032814,71.03243161594894
2024-10-08,148.23507505924326,142.5888436056044,63.070878480082214
2024-11-05,154.41570381512554,134.44997100435518,69.26084146558036
2024-12-05,155.78702391557493,132.2702998234164,73.00254588092369
2025-01-06,151.8045140004706,125.8521513880561,73.95804078966117
2025-02-05,153.50392769386073,129.37683965039747,74.86700391730271
2025-03-05,155.4342722941404,135.80800881390664,77.1071638528418
2025-04-07,159.5144164986669,133.5926610322935,84.19385403018363
2025-05-06,173.87975175122912,140.99979165956722,86.35272577732684
2025-06-05,190.50809545174627,143.04507496137347,95.71593584411
2025-07-07,199.53150459680845,148.94489462542248,94.49626029327301
2025-08-05,198.95785119802275,156.23719932480668,86.1258227937941
2025-09-05,187.38882886130713,167.91256799478614,69.68431959573292
2025-10-09,190.82527270394917,176.59237529860135,71.14905990198027
2025-11-05,181.30059458498377,173.93188013622301,71.5934052751484
2025-12-05,179.79194735462963,170.09728321099448,70.44671331934414
2026-01-05,174.87831946575554,173.99628372644966,67.55404775399086
2026-02-05,172.26705373200267,178.38752197905734,61.015201297742884
2026-03-05,168.00193389714147,178.9271364090464,60.73648104451206
2026-04-07,154.63059185689124,167.93924225972899,59.331629287115526
2026-05-06,166.70377481528936,179.12185896156575,60.518687192858856
2026-06-05,163.5146873408754,173.42967100002488,61.69069070104713
2026-07-01,164.2974863830957,174.0076851326467,54.063380365288836
